当落,候補者氏名,年齢,性別,党派,元現新,衆参当選回数,参議院当選回数,衆議院当選回数,議席数,争点1位,争点2位,争点3位,政府規模,出生地外立候補フラグ,秘書経験フラグ,地方議会経験フラグ,職業(分類)
当,高橋 はるみ,71,1,自由民主党,現,1,1,0,3,年金・医療・介護,景気・雇用,子育て支援,2,1,1,1,政治家・政党関係
落,田　中　　よしひと,53,0,参政党,新,0,0,0,3,消費税,外交・安全保障,農林水産業,2,0,1,0,自営業
落,小野寺 まさる,61,0,日本保守党,新,0,0,0,3,消費税,エネルギー・環境,その他,1,0,0,0,政治家・政党関係
落,後　藤　　朋　子,55,1,ＮＨＫ党,新,0,0,0,3,その他,治安,消費税,3,1,1,1,会社員・社員
落,宮　内　　しおり,33,1,日本共産党,新,0,0,0,3,消費税,働き方,外交・安全保障,5,0,1,1,政治家・政党関係
当,岩　本　　剛　人,60,0,自由民主党,現,1,0,0,3,景気・雇用,地方活性化・人口減,農林水産業,3,0,1,0,政治家・政党関係
落,稲　原　　むねよし,36,0,チームみらい,新,0,0,0,3,エネルギー・環境,年金・医療・介護,農林水産業,1,1,1,1,会社員・社員
落,鈴　木　　まさき,33,0,国民民主党,新,0,0,0,3,景気・雇用,地方活性化・人口減,年金・医療・介護,2,1,1,1,企業経営者・役員
当,勝　部　　けんじ,65,0,立憲民主党,現,1,1,0,3,消費税,年金・医療・介護,教育,5,0,1,0,政治家・政党関係
落,オカダ　　美輪子,45,1,日本維新の会,新,0,0,0,3,子育て支援,教育,政治とカネ,2,0,1,1,企業経営者・役員
落,高　杉　　やすじ,56,0,日本改革党,新,0,0,0,3,年金・医療・介護,消費税,治安,1,0,1,1,会社員・社員
落,のむらパターソン　　和　孝,40,0,れいわ新選組,新,0,0,0,3,消費税,財政,エネルギー・環境,3,0,1,0,企業経営者・役員
落,ローレンス　　綾　子,55,1,参政党,新,0,0,0,1,農林水産業,財政,教育,2,1,1,1,政治家・政党関係
落,石　川　　光次郎,58,0,自由民主党,新,0,0,0,1,景気・雇用,外交・安全保障,地方活性化・人口減,2,0,0,0,政治家・政党関係
落,中　村　　高　志,65,0,無所属,新,0,0,0,1,,,,,1,1,1,無職
落,前　田　　太　一,39,0,ＮＨＫ党,新,0,0,0,1,その他,治安,財政,1,1,1,1,その他
落,本　田　　幸　久,43,0,ＮＨＫ党,新,0,0,0,1,その他,,,1,,1,1,会社員・社員
落,さとう　　みわこ,65,1,参政党,新,0,0,0,1,教育,農林水産業,地方活性化・人口減,3,,1,1,自営業
落,なかいずみ　　松　司,46,0,自由民主党,元,1,1,0,1,農林水産業,景気・雇用,地方活性化・人口減,2,0,0,0,農林業
当,てらた　　しずか,50,1,無所属,現,2,2,0,1,景気・雇用,地方活性化・人口減,年金・医療・介護,4,0,0,1,政治家・政党関係
当,は　が　　道　也,67,0,無所属,現,1,1,0,1,その他,年金・医療・介護,農林水産業,4,0,1,1,政治家・政党関係
落,佐　藤　　ともあき,52,0,参政党,新,0,0,0,1,農林水産業,子育て支援,教育,2,,1,1,企業経営者・役員
落,大　内　　り　か,62,1,自由民主党,新,0,0,0,1,地方活性化・人口減,防災・復興,農林水産業,1,,1,0,政治家・政党関係
落,三井寺　　修,45,0,日本共産党,新,0,0,0,1,消費税,年金・医療・介護,外交・安全保障,4,,1,1,政治家・政党関係
落,高　橋　　誠一郎,30,0,日本共産党,新,0,0,0,1,消費税,子育て支援,年金・医療・介護,4,1,1,1,政治家・政党関係
落,酒　井　　明　男,50,0,ＮＨＫ党,新,0,0,0,1,その他,政治とカネ,財政,3,,1,1,農林業
落,大　森　　紀　明,54,0,参政党,新,0,0,0,1,消費税,子育て支援,農林水産業,1,0,1,1,企業経営者・役員
落,板　津　　ゆ　か,37,1,立憲民主党,新,0,0,0,1,景気・雇用,年金・医療・介護,外交・安全保障,2,1,1,1,企業経営者・役員
当,高　橋　　かつのり,67,0,自由民主党,現,2,2,0,1,景気・雇用,農林水産業,憲法,3,0,0,0,政治家・政党関係
落,福　田　　みちお,66,0,日本共産党,新,0,0,0,1,消費税,年金・医療・介護,農林水産業,5,,1,0,政治家・政党関係
落,高　橋　　真佐子,60,1,ＮＨＫ党,新,0,0,0,1,治安,景気・雇用,地方活性化・人口減,3,,1,1,医療・福祉
落,笠　間　　愼一郎,76,0,無所属,新,0,0,0,1,,,,,1,1,1,農林業
落,青　木　　ひとみ,44,1,参政党,新,0,0,0,1,消費税,農林水産業,地方活性化・人口減,2,0,1,1,医療・福祉
当,清　水　　まさと,50,0,自由民主党,現,2,2,0,1,景気・雇用,地方活性化・人口減,防災・復興,2,0,1,0,政治家・政党関係
落,井　田　　雅　彦,49,0,無所属連合,新,0,0,0,1,その他,外交・安全保障,子育て支援,2,,1,1,企業経営者・役員
落,高　橋　　たもつ,67,0,日本共産党,新,0,0,0,1,消費税,年金・医療・介護,外交・安全保障,5,0,1,1,政治家・政党関係
落,りゅうの　　まゆみ,52,1,日本維新の会,新,0,0,0,1,その他,年金・医療・介護,景気・雇用,3,,1,1,芸術・エンタメ・スポーツ
当,古　川　　俊　治,62,0,自由民主党,現,4,4,0,1,年金・医療・介護,その他,,2,0,1,1,医療・福祉
当,大　津　　力,53,0,参政党,新,0,0,0,1,消費税,景気・雇用,農林水産業,3,,1,1,企業経営者・役員
落,斉　藤　　よしひで,52,0,無所属,新,0,0,0,1,消費税,景気・雇用,子育て支援,2,1,1,1,無職
落,石　濱　　哲　信,74,0,日本保守党,新,0,0,0,1,外交・安全保障,その他,教育,5,,1,1,政治家・政党関係
落,山　本　　なつみ,36,1,れいわ新選組,新,0,0,0,3,消費税,子育て支援,教育,3,,1,1,無職
落,なかや　　め　ぐ,43,1,参政党,新,0,0,0,3,消費税,治安,子育て支援,1,1,1,1,美容業
落,小　林　　しゅうへい,34,0,チームみらい,新,0,0,0,3,子育て支援,教育,財政,1,0,1,1,金融業
落,大すき　　ゆうや,36,0,無所属,新,0,0,0,3,財政,消費税,年金・医療・介護,3,0,1,1,法律・士業
落,中　野　　ともあき,48,0,無所属連合,新,0,0,0,3,子育て支援,年金・医療・介護,消費税,5,,1,1,自営業
落,白　石　　ち　よ,49,1,日本共産党,新,0,0,0,3,消費税,年金・医療・介護,景気・雇用,5,0,1,1,政治家・政党関係
当,石　井　　準　一,67,0,自由民主党,現,4,4,0,3,景気・雇用,地方活性化・人口減,子育て支援,3,0,0,0,政治家・政党関係
落,石　塚　　さだみち,58,0,日本維新の会,新,0,0,0,3,年金・医療・介護,消費税,教育,2,,0,1,法律・士業
落,西　　みゆか,53,1,社会民主党,新,0,0,0,3,消費税,景気・雇用,財政,5,1,1,1,法律・士業
落,小　坂　　英　二,52,0,日本保守党,新,0,0,0,3,外交・安全保障,治安,エネルギー・環境,1,1,1,1,政治家・政党関係
当,さ　や　　,43,1,参政党,新,0,0,0,3,消費税,年金・医療・介護,農林水産業,1,1,1,1,芸術・エンタメ・スポーツ
落,みねしま　　侑　也,35,0,チームみらい,新,0,0,0,3,政治とカネ,消費税,子育て支援,2,0,1,1,ITエンジニア
落,たけみ　　敬　三,73,0,自由民主党,現,5,5,0,3,年金・医療・介護,外交・安全保障,地方活性化・人口減,3,0,1,1,政治家・政党関係
落,おくむら　　まさよし,47,0,立憲民主党,現,1,1,0,3,景気・雇用,消費税,子育て支援,3,1,1,1,政治家・政党関係
当,牛　田　　ま　ゆ,40,1,国民民主党,新,0,0,0,3,景気・雇用,子育て支援,消費税,2,1,1,1,政治家・政党関係
落,酒　井　　ともひろ,55,0,みんなでつくる党,新,0,0,0,3,その他,景気・雇用,情報公開,1,,1,1,企業経営者・役員
落,福　村　　康　廣󠄅,68,0,世界平和党,新,0,0,0,3,年金・医療・介護,子育て支援,,1,,1,1,企業経営者・役員
落,桑　島　　康　文,64,0,核融合党,新,0,0,0,3,エネルギー・環境,景気・雇用,財政,3,1,1,1,医療・福祉
落,渋　谷　　り　く,40,1,新党やまと,新,0,0,0,3,憲法,子育て支援,消費税,4,,1,1,芸術・エンタメ・スポーツ
当,奥　村　　よしひろ,31,0,国民民主党,新,0,0,0,3,景気・雇用,教育,子育て支援,1,1,1,1,政治家・政党関係
落,吉　田　　あ　や,40,1,再生の道,新,0,0,0,3,教育,景気・雇用,外交・安全保障,3,,1,1,無職
当,鈴　木　　大　地,58,0,自由民主党,新,0,0,0,3,景気・雇用,年金・医療・介護,子育て支援,3,,1,1,教育・研究
落,あ　や　　ひさし,78,0,日本誠真会,新,0,0,0,3,憲法,農林水産業,外交・安全保障,1,,1,1,企業経営者・役員
落,三　好　　りょう,40,0,れいわ新選組,新,0,0,0,3,消費税,外交・安全保障,景気・雇用,3,,0,1,会社員・社員
当,はじかの　　ひろき,48,0,参政党,新,0,0,0,3,消費税,子育て支援,治安,2,,1,1,企業経営者・役員
落,あさか　　由　香,45,1,日本共産党,新,0,0,0,3,消費税,景気・雇用,年金・医療・介護,5,,1,1,政治家・政党関係
落,河　合　　みちお,35,0,チームみらい,新,0,0,0,3,教育,政治とカネ,子育て支援,1,,1,1,会社員・社員
当,かごしま　　彰　宏,36,0,国民民主党,新,0,0,0,3,財政,農林水産業,エネルギー・環境,2,,1,1,政治家・政党関係
落,みしま　　り　え,64,1,無所属,新,0,0,0,3,年金・医療・介護,憲法,外交・安全保障,2,,1,1,法律・士業
当,わ　き　　雅　昭,43,0,自由民主党,新,0,0,0,3,景気・雇用,子育て支援,年金・医療・介護,2,1,0,1,政治家・政党関係
落,うつみ　　さとる,50,0,無所属連合,新,0,0,0,3,治安,消費税,憲法,4,,1,1,医療・福祉
落,ち　ば　　修　平,53,0,日本維新の会,新,0,0,0,3,年金・医療・介護,教育,外交・安全保障,2,0,0,0,政治家・政党関係
落,金　子　　ときお,75,0,社会民主党,新,0,0,0,3,年金・医療・介護,外交・安全保障,防災・復興,5,1,1,0,政治家・政党関係
落,佐々木　　さやか,44,1,公明党,現,2,2,0,3,景気・雇用,教育,年金・医療・介護,3,1,1,1,政治家・政党関係
当,牧　山　　ひろえ,60,1,立憲民主党,現,4,4,0,3,消費税,年金・医療・介護,景気・雇用,4,1,1,1,政治家・政党関係
落,堀　川　　圭　輔,51,0,ＮＨＫ党,新,0,0,0,3,情報公開,景気・雇用,その他,1,,1,1,会社員・社員
落,村　田　　しげる,62,0,日本共産党,新,0,0,0,3,消費税,働き方,憲法,5,0,1,1,政治家・政党関係
当,宮　本　　しゅうじ,54,0,自由民主党,現,4,4,0,3,景気・雇用,年金・医療・介護,地方活性化・人口減,1,0,1,1,政治家・政党関係
落,はまべ　　健　太,31,0,国民民主党,新,0,0,0,3,教育,防災・復興,景気・雇用,2,0,1,1,政治家・政党関係
落,小　澤　　正　人,49,0,ＮＨＫ党,新,0,0,0,3,その他,消費税,年金・医療・介護,1,,1,1,無職
落,牧　野　　みどり,40,1,参政党,新,0,0,0,3,消費税,農林水産業,防災・復興,3,1,1,1,会社員・社員
落,山　田　　かずお,58,0,日本共産党,新,0,0,0,1,消費税,年金・医療・介護,農林水産業,3,,1,1,政治家・政党関係
落,かずえちゃん　　,42,1,立憲民主党,新,0,0,0,1,性的少数者に関する政策,選択的夫婦別姓,教育,4,0,1,1,その他
当,たきなみ　　宏　文,53,0,自由民主党,現,2,2,0,1,地方活性化・人口減,防災・復興,エネルギー・環境,1,0,0,1,政治家・政党関係
落,浜　田　　智,62,0,ＮＨＫ党,新,0,0,0,1,治安,景気・雇用,選挙制度,1,1,1,1,企業経営者・役員
落,千　田　　たかひろ,39,0,参政党,新,0,0,0,1,景気・雇用,その他,教育,2,0,1,1,企業経営者・役員
落,おおさか　　幸太郎,57,0,日本保守党,新,0,0,0,1,消費税,エネルギー・環境,その他,1,0,1,1,自営業
落,山　中　　しゅんすけ,41,0,国民民主党,新,0,0,0,1,景気・雇用,消費税,エネルギー・環境,2,,1,1,医療・福祉
当,若　井　　あつこ,53,1,自由民主党,新,0,0,0,1,景気・雇用,地方活性化・人口減,子育て支援,3,0,1,0,政治家・政党関係
落,三　尾　　圭　司,49,0,日本共産党,新,0,0,0,1,消費税,景気・雇用,年金・医療・介護,5,0,1,1,政治家・政党関係
落,伊　藤　　あゆみ,54,1,無所属,新,0,0,0,1,教育,年金・医療・介護,政治とカネ,2,0,1,1,会社員・社員
落,小　池　　裕　之,31,0,ＮＨＫ党,新,0,0,0,1,情報公開,教育,景気・雇用,1,,1,1,法律・士業
当,しんば　　賀津也,58,0,国民民主党,現,5,5,0,2,景気・雇用,年金・医療・介護,外交・安全保障,2,0,1,0,政治家・政党関係
落,村　上　　猛,74,0,無所属,新,0,0,0,2,エネルギー・環境,財政,政治とカネ,1,,1,1,企業経営者・役員
落,福　原　　志瑠美,42,1,ＮＨＫ党,新,0,0,0,2,子育て支援,消費税,財政,5,1,1,1,企業経営者・役員
落,松　下　　ゆうき,41,1,参政党,新,0,0,0,2,年金・医療・介護,教育,子育て支援,2,1,1,1,医療・福祉
落,鈴　木　　ち　か,54,1,日本共産党,新,0,0,0,2,景気・雇用,消費税,政治とカネ,5,0,1,0,政治家・政党関係
当,牧　野　　たかお,66,0,自由民主党,現,3,3,0,2,その他,景気・雇用,地方活性化・人口減,3,0,1,0,政治家・政党関係
落,山　口　　かなえ,46,1,無所属連合,新,0,0,0,2,子育て支援,地方活性化・人口減,教育,2,0,1,1,医療・福祉
落,つ　じ　　恵,77,1,れいわ新選組,新,0,0,0,4,消費税,年金・医療・介護,教育,3,1,1,1,法律・士業
落,橋　本　　博　幸,42,0,ＮＨＫ党,新,0,0,0,4,教育,政治とカネ,財政,1,1,1,1,建設・施工業
落,吉　川　　ゆうみ,51,1,自由民主党,現,0,0,0,4,景気・雇用,地方活性化・人口減,農林水産業,3,,1,1,政治家・政党関係
当,小　島　　とも子,64,1,立憲民主党,新,0,0,0,4,景気・雇用,年金・医療・介護,子育て支援,5,0,1,0,政治家・政党関係
落,なんば　　聖　子,45,1,参政党,新,0,0,0,4,財政,消費税,農林水産業,3,0,1,0,清掃業
落,さとう　　耕　平,43,0,日本共産党,新,0,0,0,1,消費税,農林水産業,年金・医療・介護,5,,1,1,政治家・政党関係
落,中　田　　あ　い,46,1,参政党,新,0,0,0,1,景気・雇用,子育て支援,農林水産業,2,,1,1,建設・施工業
当,宮　本　　かずひろ,53,0,自由民主党,新,0,0,0,1,景気・雇用,年金・医療・介護,教育,2,1,1,0,政治家・政党関係
落,堀　江　　あきら,38,0,国民民主党,新,0,0,0,1,景気・雇用,教育,地方活性化・人口減,3,0,1,1,会社員・社員
落,おかや　　京　佑,32,0,日本維新の会,新,0,0,0,1,年金・医療・介護,その他,地方活性化・人口減,2,1,1,1,政治家・政党関係
落,菅　原　　良　雄,47,0,ＮＨＫ党,新,0,0,0,1,治安,景気・雇用,農林水産業,5,0,1,1,警備業
落,藤　井　　隆　一,60,0,自分のことしか考えていない党,新,0,0,0,1,その他,,,,,1,1,無職
当,にいみ　　彰　平,36,0,日本維新の会,新,0,0,0,2,年金・医療・介護,消費税,教育,2,0,1,1,企業経営者・役員
落,上　妻　　敬　二,67,0,救世主作る党,新,0,0,0,2,,,,1,,1,1,無職
当,岡　崎　　ふとし,57,0,日本維新の会,新,0,0,0,2,年金・医療・介護,教育,地方活性化・人口減,1,1,1,0,企業経営者・役員
落,吉　野　　じゅんこ,55,1,日本誠真会,新,0,0,0,2,その他,消費税,年金・医療・介護,1,1,1,1,医療・福祉
落,平　　　りさこ,34,1,チームみらい,新,0,0,0,2,子育て支援,教育,その他,2,0,1,1,マスコミュニケーション
落,柳　本　　　あきら,51,0,自由民主党,新,0,0,0,2,景気・雇用,年金・医療・介護,子育て支援,3,0,1,0,政治家・政党関係
落,武　内　　隆,62,0,ＮＨＫ党,新,0,0,0,2,その他,治安,情報公開,2,,1,1,会社員・社員
落,橋　口　　れ　い,56,1,立憲民主党,新,0,0,0,2,消費税,景気・雇用,働き方,2,0,1,1,法律・士業
落,まさき　　ま　き,46,1,日本保守党,新,0,0,0,2,,,,,1,0,1,政治家・政党関係
落,かばた　　健　吾,44,0,れいわ新選組,新,0,0,0,2,消費税,年金・医療・介護,景気・雇用,3,,0,1,会社員・社員
当,宮　出　　ちさと,40,1,参政党,新,0,0,0,2,景気・雇用,子育て支援,治安,1,0,1,1,会社員・社員
落,わたなべ　　り　お,30,1,国民民主党,新,0,0,0,2,年金・医療・介護,その他,景気・雇用,2,0,1,1,医療・福祉
落,清　水　　ただし,57,0,日本共産党,新,0,0,0,2,消費税,年金・医療・介護,外交・安全保障,5,0,1,0,政治家・政党関係
落,せ　と　　弘　幸,73,0,日本改革党,新,0,0,0,2,エネルギー・環境,農林水産業,,2,1,,,農林業
落,世　良　　公　則,69,0,無所属,新,0,0,0,2,消費税,財政,外交・安全保障,1,1,1,1,芸術・エンタメ・スポーツ
落,かわと　　やすし,49,0,立憲民主党,新,0,0,0,1,消費税,子育て支援,地方活性化・人口減,4,1,,,企業経営者・役員
落,杉　本　　あおい,34,1,国民民主党,新,0,0,0,1,景気・雇用,教育,年金・医療・介護,1,1,1,0,政治家・政党関係
落,太　田　　あつし,53,0,日本共産党,新,0,0,0,1,景気・雇用,消費税,年金・医療・介護,4,0,1,0,政治家・政党関係
当,堀　井　　いわお,59,0,自由民主党,現,3,3,0,1,地方活性化・人口減,防災・復興,外交・安全保障,3,0,0,1,政治家・政党関係
落,黒　川　　ようじ,53,0,参政党,新,0,0,0,1,子育て支援,消費税,景気・雇用,3,1,1,1,自営業
落,平　　　まさき,49,0,日本維新の会,新,0,0,0,1,年金・医療・介護,教育,その他,2,0,1,1,医療・福祉
落,川　崎　　智　之,38,0,ＮＨＫ党,新,0,0,0,1,エネルギー・環境,治安,地方活性化・人口減,1,1,,1,製造業
落,前　　ひさし,69,0,日本共産党,新,0,0,0,1,消費税,年金・医療・介護,農林水産業,5,0,1,1,政治家・政党関係
落,にかい　　伸　康,47,0,自由民主党,新,0,0,0,1,子育て支援,防災・復興,農林水産業,2,0,0,1,政治家・政党関係
当,望　月　　よしお,53,0,無所属,新,0,0,0,1,財政,教育,政治とカネ,2,0,1,0,企業経営者・役員
落,浦　平　　よしひろ,53,0,日本維新の会,新,0,0,0,1,教育,年金・医療・介護,政治とカネ,2,0,1,0,企業経営者・役員
落,すえよし　　あ　や,54,1,無所属,新,0,0,0,1,景気・雇用,消費税,働き方,2,0,1,1,企業経営者・役員
落,うぶはら　　としふみ,57,0,無所属,新,0,0,0,1,消費税,年金・医療・介護,財政,3,,1,1,無職
落,高　見　　あつみ,73,1,日本共産党,新,0,0,0,1,消費税,外交・安全保障,年金・医療・介護,5,,1,1,政治家・政党関係
当,森　本　　しんじ,52,0,立憲民主党,現,3,3,0,1,景気・雇用,消費税,年金・医療・介護,3,0,0,0,政治家・政党関係
当,西　田　　ひでのり,43,0,自由民主党,新,0,0,0,1,景気・雇用,子育て支援,農林水産業,2,0,1,1,ITエンジニア
落,谷　本　　誠　一,69,0,無所属連合,新,0,0,0,1,消費税,憲法,農林水産業,1,0,0,0,無職
落,玉　田　　のりたか,67,0,無所属,新,0,0,0,1,選挙制度,政治とカネ,外交・安全保障,5,1,,1,企業経営者・役員
落,こいし　　美千代,56,1,参政党,新,0,0,0,1,景気・雇用,財政,子育て支援,2,0,1,1,自営業
落,堤　　　美登里,68,1,ＮＨＫ党,新,0,0,0,1,その他,働き方,情報公開,2,0,1,1,その他
落,はんどう　　大　樹,50,0,れいわ新選組,新,0,0,0,1,消費税,外交・安全保障,政治とカネ,3,0,1,1,法律・士業
落,上　子　　亨,48,0,無所属,新,0,0,0,1,,,,,0,1,1,無職
当,北　村　　つねお,70,0,自由民主党,現,3,3,0,1,景気・雇用,外交・安全保障,農林水産業,3,0,1,1,政治家・政党関係
落,やまさき　　珠　江,47,1,参政党,新,0,0,0,1,子育て支援,情報公開,消費税,4,0,1,1,自営業
落,奥　野　　信　治,47,0,ＮＨＫ党,新,0,0,0,1,治安,消費税,子育て支援,2,1,1,1,法律・士業
当,ながえ　　孝　子,65,1,無所属,現,0,0,0,1,消費税,農林水産業,地方活性化・人口減,4,0,1,1,政治家・政党関係
落,うえの　　由　佳,30,1,自由民主党,新,0,0,0,1,景気・雇用,財政,農林水産業,2,0,1,1,政治家・政党関係
落,原　田　　しんたろう,35,0,参政党,新,0,0,0,1,消費税,財政,子育て支援,1,1,0,1,政治家・政党関係
落,斉　藤　　博　樹,52,0,ＮＨＫ党,新,0,0,0,1,外交・安全保障,景気・雇用,消費税,1,1,,1,企業経営者・役員
落,川　端　　ゆうすけ,35,0,チームみらい,新,0,0,0,1,景気・雇用,政治とカネ,地方活性化・人口減,1,1,1,1,ITエンジニア
落,とみなが　　正　博,47,0,日本誠真会,新,0,0,0,3,憲法,景気・雇用,消費税,3,0,1,0,会社員・社員
当,中　田　　ゆうこ,35,1,参政党,新,0,0,0,3,消費税,子育て支援,外交・安全保障,2,0,1,1,会社員・社員
落,村　上　　成　俊,54,0,ＮＨＫ党,新,0,0,0,3,景気・雇用,年金・医療・介護,,2,0,1,1,企業経営者・役員
落,野　田　　くによし,67,0,立憲民主党,現,3,2,1,3,景気・雇用,政治とカネ,,3,0,0,0,政治家・政党関係
落,かわもと　　健　一,45,0,国民民主党,新,0,0,0,3,消費税,景気・雇用,教育,2,0,1,1,自営業
当,しもの　　六　太,61,0,公明党,現,2,2,0,3,子育て支援,景気・雇用,農林水産業,2,0,1,1,政治家・政党関係
落,伊　藤　　博　文,56,0,日本維新の会,新,0,0,0,3,年金・医療・介護,教育,政治とカネ,2,0,0,1,企業経営者・役員
落,黒　石　　隆　太,33,0,参政党,新,0,0,0,3,消費税,景気・雇用,地方活性化・人口減,2,0,1,1,政治家・政党関係
落,たかや　　きくお,63,0,日本誠真会,新,0,0,0,3,消費税,憲法,景気・雇用,3,,1,1,無職
落,深　堀　　ひろし,59,0,国民民主党,新,0,0,0,3,地方活性化・人口減,財政,子育て支援,3,0,1,0,政治家・政党関係
落,神　谷　　幸太郎,49,0,ＮＨＫ党,新,0,0,0,3,治安,情報公開,その他,1,1,1,1,無職
落,立　花　　勝　樹,57,0,ＮＨＫ党,新,0,0,0,1,子育て支援,年金・医療・介護,消費税,2,0,1,1,会社員・社員
当,馬　場　　せいし,60,0,自由民主党,現,2,2,0,1,景気・雇用,地方活性化・人口減,防災・復興,3,0,1,0,政治家・政党関係
落,山　口　　誠太郎,36,0,参政党,新,0,0,0,1,消費税,子育て支援,農林水産業,1,1,1,1,企業経営者・役員
落,かまた　　さとる,60,0,立憲民主党,新,0,0,0,1,消費税,農林水産業,年金・医療・介護,3,0,1,0,政治家・政党関係
落,白　坂　　あ　き,59,1,自由民主党,現,0,0,0,1,地方活性化・人口減,景気・雇用,外交・安全保障,3,0,1,1,政治家・政党関係
落,野　中　　しんすけ,38,0,参政党,新,0,0,0,1,消費税,景気・雇用,子育て支援,1,0,1,1,政治家・政党関係
