当落,候補者氏名,年齢,性別,党派,元現新,衆参当選回数,参議院当選回数,衆議院当選回数,議席数,争点1位,争点2位,争点3位,政府規模,出生地外立候補フラグ,秘書経験フラグ,地方議会経験フラグ,職業(分類)
落,あ　べ　　まさお,46,0,日本誠真会,新,0,0,0,1,憲法,消費税,エネルギー・環境,4,0,0,1,会社員・社員
落,二　宮　　大　造,54,0,ＮＨＫ党,新,0,0,0,1,その他,その他,その他,5,1,1,0,会社員・社員
落,和　田　　ともひさ,65,0,参政党,新,0,0,0,1,消費税,子育て支援,教育,1,1,1,0,企業経営者・役員
当,タカラ　　さちか,46,1,無所属,新,0,0,0,1,消費税,景気・雇用,外交・安全保障,4,0,1,1,教育・研究
落,ヒ　ガ　　タカシ,47,0,無所属,新,0,0,0,1,その他,その他,その他,,0,1,1,企業経営者・役員
落,滝　沢　　もとめ,66,0,自由民主党,現,2,2,0,1,景気・雇用,農林水産業,子育て支援,3,0,0,0,政治家・政党関係
当,福　士　　ますみ,60,1,立憲民主党,新,0,0,0,1,景気・雇用,地方活性化・人口減,農林水産業,5,0,1,1,企業経営者・役員
落,加　藤　　つとむ,65,0,参政党,新,0,0,0,1,消費税,地方活性化・人口減,農林水産業,1,1,1,1,無職
落,おぎの　　優　子,33,1,日本共産党,新,0,0,0,1,消費税,働き方,年金・医療・介護,3,0,1,1,政治家・政党関係
落,佐々木　　晃,53,0,ＮＨＫ党,新,0,0,0,1,消費税,地方活性化・人口減,治安,4,1,1,1,政治家・政党関係
落,吉　田　　博　信,59,0,ＮＨＫ党,新,0,0,0,1,情報公開,その他,消費税,1,1,1,1,無職
当,横　沢　　たかのり,53,0,立憲民主党,現,2,2,0,1,農林水産業,景気・雇用,地方活性化・人口減,4,0,1,1,政治家・政党関係
落,及　川　　たいすけ,46,0,参政党,新,0,0,0,1,財政,消費税,子育て支援,1,1,1,1,会社員・社員
落,平　野　　たつお,71,0,自由民主党,元,3,3,0,1,農林水産業,景気・雇用,地方活性化・人口減,3,,1,1,政治家・政党関係
落,角　野　　なすか,35,1,チームみらい,新,0,0,0,1,地方活性化・人口減,子育て支援,教育,2,0,1,1,ITエンジニア
落,石　井　　よしひと,62,0,れいわ新選組,新,0,0,0,1,消費税,景気・雇用,年金・医療・介護,3,1,1,1,自営業
当,石　垣　　のりこ,50,1,立憲民主党,現,2,2,0,1,消費税,農林水産業,年金・医療・介護,5,0,1,1,政治家・政党関係
落,大　貫　　学,67,0,ＮＨＫ党,新,0,0,0,1,憲法,財政,地方活性化・人口減,,1,1,1,農林業
落,大　山　　りさこ,51,1,参政党,新,0,0,0,1,景気・雇用,子育て支援,エネルギー・環境,1,0,1,1,企業経営者・役員
落,越　智　　寛　之,51,0,ＮＨＫ党,新,0,0,0,1,その他,防災・復興,エネルギー・環境,1,,1,1,企業経営者・役員
当,森　　まさこ,60,1,自由民主党,現,4,4,0,1,防災・復興,その他,農林水産業,3,0,1,1,政治家・政党関係
落,石　原　　洋三郎,52,0,立憲民主党,新,1,0,1,1,地方活性化・人口減,年金・医療・介護,エネルギー・環境,4,0,1,0,政治家・政党関係
落,遠　藤　　雄　大,40,0,無所属,新,0,0,0,1,農林水産業,地方活性化・人口減,治安,2,0,,1,無職
当,さくらい　　しょうこ,41,1,参政党,新,0,0,0,2,消費税,農林水産業,外交・安全保障,3,1,1,1,企業経営者・役員
落,牧　山　　やすし,65,0,無所属,新,0,0,0,2,財政,年金・医療・介護,その他,4,,1,1,医療・福祉
落,石　井　　憲一郎,58,0,日本改革党,新,0,0,0,2,消費税,憲法,その他,1,,1,1,会社員・社員
落,北　崎　　せりな,35,1,日本維新の会,新,0,0,0,2,年金・医療・介護,教育,消費税,2,0,1,1,無職
落,おぬま　　たくみ,39,0,立憲民主党,現,1,1,0,2,景気・雇用,農林水産業,年金・医療・介護,3,0,1,1,政治家・政党関係
当,上　月　　りょうすけ,62,0,自由民主党,現,2,2,0,2,景気・雇用,年金・医療・介護,農林水産業,2,1,0,1,政治家・政党関係
落,河　村　　まさたけ,52,0,立憲民主党,新,0,0,0,2,消費税,景気・雇用,年金・医療・介護,4,1,1,1,政治家・政党関係
落,上　楽　　　宗　之,46,0,ＮＨＫ党,新,0,0,0,2,子育て支援,消費税,地方活性化・人口減,1,1,1,1,企業経営者・役員
落,からしま　　み　き,49,1,無所属,新,0,0,0,2,農林水産業,景気・雇用,治安,3,1,,,無職
当,江　原　　くみ子,54,1,国民民主党,新,0,0,0,4,景気・雇用,年金・医療・介護,農林水産業,3,0,0,0,政治家・政党関係
落,津　村　　大　作,51,0,日本改革党,新,0,0,0,4,,,,,1,1,1,企業経営者・役員
落,伊　藤　　岳,65,0,日本共産党,現,1,1,0,4,消費税,景気・雇用,年金・医療・介護,4,0,1,1,政治家・政党関係
落,矢　倉　　かつお,50,0,公明党,現,2,2,0,4,景気・雇用,年金・医療・介護,外交・安全保障,3,1,0,0,政治家・政党関係
落,武　藤　　かず子,43,1,チームみらい,新,0,0,0,4,教育,子育て支援,政治とカネ,1,1,0,0,政治家・政党関係
落,増　山　　ゆうか,42,1,日本誠真会,新,0,0,0,4,消費税,農林水産業,景気・雇用,3,,0,0,金融業
落,高　井　　たまき,54,1,社会民主党,新,3,3,0,4,子育て支援,教育,年金・医療・介護,5,1,1,0,政治家・政党関係
落,山　田　　信　一,54,0,ＮＨＫ党,新,0,0,0,4,治安,年金・医療・介護,景気・雇用,3,0,0,1,金融業
落,桜　井　　ななえ,50,1,れいわ新選組,新,0,0,0,4,消費税,年金・医療・介護,農林水産業,3,0,1,1,企業経営者・役員
当,くまがい　　裕　人,63,0,立憲民主党,現,1,1,0,4,景気・雇用,年金・医療・介護,地方活性化・人口減,3,0,0,0,政治家・政党関係
当,長　浜　　ひろゆき,66,0,立憲民主党,現,8,4,4,4,エネルギー・環境,情報公開,景気・雇用,3,1,0,1,政治家・政党関係
当,小　林　　さやか,41,1,国民民主党,新,0,0,0,4,景気・雇用,年金・医療・介護,子育て支援,2,0,1,1,政治家・政党関係
落,小笠原　　　裕,62,0,日本の家庭を守る会,新,0,0,0,4,憲法,その他,教育,1,,1,1,ITエンジニア
落,玉　元　　弘　次,63,0,ＮＨＫ党,新,0,0,0,4,年金・医療・介護,消費税,外交・安全保障,1,,1,1,医療・福祉
落,橋　本　　直　久,61,0,日本誠真会,新,0,0,0,4,財政,農林水産業,憲法,3,1,1,0,無職
落,豊　田　　俊　郎,72,0,自由民主党,現,2,2,0,4,外交・安全保障,財政,年金・医療・介護,3,0,1,0,政治家・政党関係
落,江　田　　よしまさ,48,0,日本改革党,新,0,0,0,4,消費税,その他,外交・安全保障,1,1,1,1,金融業
落,大　塚　　京　子,68,1,無所属,新,0,0,0,4,エネルギー・環境,防災・復興,年金・医療・介護,4,0,1,1,自営業
当,吉　良　　よし子,42,1,日本共産党,現,2,2,0,7,消費税,教育,年金・医療・介護,5,1,1,1,政治家・政党関係
落,山　本　　ジョージ,62,0,れいわ新選組,新,0,0,0,7,消費税,年金・医療・介護,政治とカネ,3,1,0,1,芸術・エンタメ・スポーツ
落,吉　永　　ア　イ,50,1,無所属,新,0,0,0,7,地方活性化・人口減,治安,教育,2,1,1,1,法律・士業
落,土　居　　けんしん,53,0,無所属,新,0,0,0,7,財政,外交・安全保障,防災・復興,1,,,,無職
落,藤　川　　ひろあき,53,0,日本改革党,新,0,0,0,7,,,,,,1,0,会社員・社員
当,塩　村　　あやか,47,1,立憲民主党,現,2,2,0,7,年金・医療・介護,景気・雇用,外交・安全保障,4,1,1,0,政治家・政党関係
落,よしざわ　　恵　理,55,1,無所属,新,0,0,0,7,年金・医療・介護,景気・雇用,政治とカネ,4,1,1,1,マスコミュニケーション
落,市　川　　たけしま,57,0,日本改革党,新,0,0,0,7,,,,,,1,1,政治家・政党関係
当,川　村　　ゆうだい,41,0,公明党,新,0,0,0,7,年金・医療・介護,子育て支援,景気・雇用,2,1,1,1,医療・福祉
落,おときた　　駿,41,0,日本維新の会,元,1,1,0,7,その他,景気・雇用,年金・医療・介護,1,0,1,1,企業経営者・役員
落,平　野　　雨　龍,31,0,無所属,新,0,0,0,7,外交・安全保障,治安,選挙制度,1,,1,1,政治家・政党関係
落,山　尾　　しおり,50,1,無所属,新,3,0,3,7,その他,憲法,外交・安全保障,2,1,0,0,法律・士業
落,ち　ば　　ひとし,62,0,日本誠真会,新,0,0,0,7,景気・雇用,消費税,年金・医療・介護,3,,1,1,企業経営者・役員
落,増　田　　昇,47,0,無所属,新,0,0,0,7,その他,その他,その他,4,1,1,1,会社員・社員
落,つ　じ　　健太郎,39,0,無所属連合,新,0,0,0,7,財政,景気・雇用,働き方,3,,1,1,政治家・政党関係
落,早　川　　幹　夫,77,0,西郷党,新,0,0,0,7,景気・雇用,教育,子育て支援,5,1,,,企業経営者・役員
落,石　丸　　幸　人,52,0,ＮＨＫ党,新,0,0,0,7,,,,1,1,1,1,医療・福祉
落,高　橋　　健　司,54,0,無所属,新,0,0,0,7,農林水産業,エネルギー・環境,年金・医療・介護,5,1,1,1,無職
落,畠　山　　　たかひろ,45,0,日本改革党,新,0,0,0,4,消費税,景気・雇用,エネルギー・環境,1,,1,1,芸術・エンタメ・スポーツ
落,佐久間　　ごいち,59,0,日本改革党,新,0,0,0,4,消費税,年金・医療・介護,外交・安全保障,3,0,1,1,会社員・社員
落,原　田　　公　成,68,0,ＮＨＫ党,新,0,0,0,1,情報公開,選挙制度,治安,1,1,1,0,会社員・社員
落,平　井　　えりこ,46,1,参政党,新,0,0,0,1,消費税,子育て支援,農林水産業,1,0,1,1,会社員・社員
落,中　村　　ま　い,46,1,自由民主党,新,0,0,0,1,景気・雇用,地方活性化・人口減,防災・復興,3,0,1,1,芸術・エンタメ・スポーツ
当,打　越　　さくら,57,1,立憲民主党,現,2,2,0,1,景気・雇用,年金・医療・介護,農林水産業,3,1,1,1,政治家・政党関係
落,田　保　　ともよ,59,1,参政党,新,0,0,0,1,農林水産業,エネルギー・環境,消費税,2,0,1,1,マスコミュニケーション
当,庭　田　　ゆきえ,57,1,国民民主党,新,0,0,0,1,景気・雇用,年金・医療・介護,教育,1,0,1,1,企業経営者・役員
落,佐　藤　　明,50,0,ＮＨＫ党,新,0,0,0,1,その他,年金・医療・介護,消費税,1,,,,ITエンジニア
落,どうこ　　茂,72,0,自由民主党,現,1,1,0,1,景気・雇用,防災・復興,教育,1,,0,0,政治家・政党関係
落,坂　本　　ひろし,54,0,日本共産党,新,0,0,0,1,消費税,年金・医療・介護,子育て支援,5,,1,0,政治家・政党関係
落,森　屋　　ひろし,68,0,自由民主党,現,2,2,0,1,地方活性化・人口減,年金・医療・介護,子育て支援,2,0,,0,政治家・政党関係
落,ながた　　み　き,55,1,参政党,新,0,0,0,1,財政,景気・雇用,子育て支援,3,0,1,1,企業経営者・役員
当,後　藤　　ひとし,67,0,国民民主党,新,5,1,4,1,農林水産業,景気・雇用,子育て支援,3,0,1,1,政治家・政党関係
落,そうだ　　記　史,42,0,日本共産党,新,0,0,0,1,消費税,景気・雇用,年金・医療・介護,5,,,0,政治家・政党関係
落,舟　橋　　夢　人,59,0,ＮＨＫ党,新,0,0,0,1,景気・雇用,子育て支援,エネルギー・環境,2,1,1,1,会社員・社員
落,竹　下　　ひろよし,42,0,参政党,新,0,0,0,1,財政,外交・安全保障,教育,2,0,1,1,その他
落,藤　田　　ひかる,35,1,自由民主党,新,0,0,0,1,景気・雇用,地方活性化・人口減,子育て支援,1,1,,1,政治家・政党関係
当,羽　田　　次　郎,55,0,立憲民主党,現,2,2,0,1,消費税,子育て支援,農林水産業,3,1,0,1,政治家・政党関係
落,山　田　　ゆうじ,35,0,チームみらい,新,0,0,0,1,教育,子育て支援,政治とカネ,2,,1,1,教育・研究
落,加　藤　　英　明,66,0,ＮＨＫ党,新,0,0,0,1,治安,その他,その他,1,1,,,その他
落,服　部　　まなぶ,54,0,立憲民主党,新,0,0,0,1,景気・雇用,消費税,働き方,4,0,1,1,政治家・政党関係
落,せ　お　　えいじ,40,0,参政党,新,0,0,0,1,消費税,農林水産業,子育て支援,2,1,1,1,医療・福祉
落,石　原　　悟,75,0,日本の家庭を守る会,新,0,0,0,1,憲法,外交・安全保障,選択的夫婦別姓,1,0,,0,会社員・社員
落,すやま　　初　美,46,1,日本共産党,新,0,0,0,1,消費税,選択的夫婦別姓,外交・安全保障,5,1,1,1,政治家・政党関係
当,水　野　　こういち,48,0,国民民主党,新,0,0,0,1,景気・雇用,子育て支援,地方活性化・人口減,1,1,1,1,政治家・政党関係
当,酒　井　　やすゆき,73,0,自由民主党,現,3,3,0,1,景気・雇用,年金・医療・介護,子育て支援,2,0,1,0,政治家・政党関係
落,安　江　　のぶお,38,0,公明党,現,1,1,0,1,子育て支援,教育,景気・雇用,2,0,1,1,政治家・政党関係
落,横　山　　緑,47,1,ＮＨＫ党,新,0,0,0,1,その他,景気・雇用,選挙制度,2,0,,,芸術・エンタメ・スポーツ
落,大　西　　雅　人,30,0,社会民主党,新,0,0,0,1,働き方,景気・雇用,エネルギー・環境,5,0,1,1,会社員・社員
当,杉　本　　じゅんこ,47,1,参政党,新,0,0,0,1,消費税,農林水産業,その他,2,0,1,1,建設・施工業
落,広　田　　さくら,47,1,日本維新の会,新,0,0,0,1,年金・医療・介護,子育て支援,消費税,2,0,1,1,芸術・エンタメ・スポーツ
落,そのはら　　たけし,54,0,日本誠真会,新,0,0,0,1,財政,エネルギー・環境,憲法,,1,1,0,芸術・エンタメ・スポーツ
落,田　中　　かつよし,41,0,減税日本,新,0,0,0,1,消費税,景気・雇用,教育,1,,0,1,金融業
落,山　根　　ゆきや,34,1,チームみらい,新,0,0,0,1,政治とカネ,子育て支援,地方活性化・人口減,1,1,1,1,マスコミュニケーション
当,田　島　　まいこ,48,1,立憲民主党,現,1,1,0,1,景気・雇用,子育て支援,外交・安全保障,2,1,,1,政治家・政党関係
落,西　郷　　みなこ,37,1,れいわ新選組,新,0,0,0,1,消費税,教育,子育て支援,3,1,1,1,教育・研究
落,酒　井　　つねお,63,0,国民民主党,新,0,0,0,1,景気・雇用,地方活性化・人口減,政治とカネ,2,,,0,政治家・政党関係
落,木　村　　嘉　孝,50,0,ＮＨＫ党,新,0,0,0,1,景気・雇用,教育,防災・復興,1,1,1,1,ITエンジニア
落,谷　口　　あおひと,46,0,参政党,新,0,0,0,1,消費税,子育て支援,農林水産業,3,,1,1,農林業
落,山　本　　わかこ,57,1,立憲民主党,新,1,0,1,1,景気・雇用,消費税,農林水産業,4,0,0,1,政治家・政党関係
落,倉　林　　　明　子,64,1,日本共産党,現,2,2,0,1,年金・医療・介護,消費税,その他,5,1,1,0,政治家・政党関係
当,西　田　　昌　司,66,0,自由民主党,現,4,4,0,1,消費税,年金・医療・介護,子育て支援,1,0,1,0,法律・士業
落,二之湯　　真　士,46,0,無所属,新,1,1,0,1,外交・安全保障,景気・雇用,農林水産業,2,0,1,0,その他
当,杉　　ひさたけ,49,0,公明党,現,3,3,0,4,その他,子育て支援,年金・医療・介護,4,0,1,1,政治家・政党関係
落,稲　垣　　ひでや,56,0,新党くにもり,新,0,0,0,4,消費税,財政,景気・雇用,5,0,1,1,小売業
落,あずま　　修　平,36,0,無所属,新,0,0,0,4,年金・医療・介護,政治とカネ,地方活性化・人口減,3,0,1,0,政治家・政党関係
当,佐々木　　り　え,42,1,日本維新の会,新,1,1,0,4,消費税,子育て支援,年金・医療・介護,1,1,1,0,政治家・政党関係
落,橋　口　　かずや,55,0,無所属連合,新,0,0,0,4,消費税,景気・雇用,子育て支援,2,,1,1,企業経営者・役員
落,き　し　　文　男,65,0,社会民主党,新,0,0,0,3,地方活性化・人口減,年金・医療・介護,エネルギー・環境,4,0,1,1,政治家・政党関係
落,うらき　　けんご,42,0,日本誠真会,新,0,0,0,3,景気・雇用,エネルギー・環境,憲法,,,1,1,法律・士業
落,ふじわら　　せいや,37,0,参政党,新,0,0,0,3,景気・雇用,農林水産業,教育,3,0,1,1,建設・施工業
当,か　だ　　裕　之,55,0,自由民主党,現,2,2,0,3,景気・雇用,年金・医療・介護,防災・復興,2,0,0,0,政治家・政党関係
落,高　橋　　ひであき,42,0,無所属連合,新,0,0,0,3,外交・安全保障,農林水産業,地方活性化・人口減,3,1,1,1,政治家・政党関係
落,多　田　　ひとみ,45,1,国民民主党,新,0,0,0,3,景気・雇用,情報公開,教育,1,1,1,1,政治家・政党関係
落,前　田　　み　さ,33,1,チームみらい,新,0,0,0,3,年金・医療・介護,子育て支援,選挙制度,2,1,1,1,企業経営者・役員
落,米　村　　明　美,65,1,れいわ新選組,新,0,0,0,3,消費税,教育,外交・安全保障,3,1,0,1,教育・研究
当,高　橋　　みつお,48,0,公明党,現,2,2,0,3,農林水産業,景気・雇用,外交・安全保障,3,0,1,1,政治家・政党関係
落,立　花　　孝　志,57,0,ＮＨＫ党,元,1,1,0,3,年金・医療・介護,消費税,景気・雇用,1,1,1,0,政治家・政党関係
落,よしひら　　敏　孝,44,0,日本維新の会,新,0,0,0,3,年金・医療・介護,消費税,子育て支援,1,0,1,1,無職
当,泉　　　房　穂,61,0,無所属,新,1,0,1,3,消費税,子育て支援,年金・医療・介護,4,0,1,0,法律・士業
落,金　田　　峰　生,59,0,日本共産党,新,0,0,0,3,消費税,年金・医療・介護,農林水産業,5,0,1,0,政治家・政党関係
落,本　間　　奈　々,56,1,ＮＨＫ党,新,0,0,0,3,消費税,外交・安全保障,その他,2,1,1,1,政治家・政党関係
落,林　元　　　政　子,51,1,参政党,新,0,0,0,3,消費税,農林水産業,子育て支援,3,,1,1,医療・福祉
落,中　山　　集,31,0,国民民主党,新,0,0,0,1,子育て支援,地方活性化・人口減,景気・雇用,2,1,1,1,企業経営者・役員
当,出　川　　桃　子,47,1,自由民主党,新,0,0,0,1,地方活性化・人口減,景気・雇用,子育て支援,2,1,1,0,政治家・政党関係
落,亀　谷　　ゆう子,39,1,日本共産党,新,0,0,0,1,消費税,農林水産業,年金・医療・介護,4,1,1,0,政治家・政党関係
落,倉　井　　克　幸,42,0,参政党,新,0,0,0,1,景気・雇用,子育て支援,消費税,2,1,1,1,農林業
落,谷　口　　直　矢,47,0,ＮＨＫ党,新,0,0,0,1,その他,,,1,1,1,1,農林業
落,くにとも　　さ　よ,33,1,立憲民主党,新,0,0,0,1,その他,景気・雇用,消費税,3,0,0,0,政治家・政党関係
落,ひろもり　　し　ほ,34,1,参政党,新,0,0,0,1,財政,消費税,景気・雇用,1,,1,1,無職
当,こばやし　　孝一郎,47,0,自由民主党,新,0,0,0,1,年金・医療・介護,地方活性化・人口減,教育,3,1,1,0,医療・福祉
落,岩　田　　好　明,57,0,ＮＨＫ党,新,0,0,0,1,,,,,,1,1,企業経営者・役員
落,とくら　　たかこ,66,1,無所属,新,0,0,0,2,消費税,財政,エネルギー・環境,5,0,1,0,企業経営者・役員
落,せきたに　　拓　馬,35,0,国民民主党,新,0,0,0,2,景気・雇用,教育,子育て支援,3,0,1,1,政治家・政党関係
落,大　石　　宗,44,0,自由民主党,新,0,0,0,1,地方活性化・人口減,景気・雇用,外交・安全保障,3,0,,0,政治家・政党関係
当,広　田　　一,56,0,無所属,現,4,3,1,1,景気・雇用,年金・医療・介護,消費税,4,0,,1,政治家・政党関係
落,金　城　　　みきひろ,43,0,参政党,新,0,0,0,1,消費税,子育て支援,地方活性化・人口減,1,1,1,1,政治家・政党関係
落,中　島　　康　治,46,0,ＮＨＫ党,新,0,0,0,1,消費税,防災・復興,地方活性化・人口減,1,0,1,1,飲食業
落,町　川　　ジュンコ,66,1,無所属,新,0,0,0,1,消費税,年金・医療・介護,地方活性化・人口減,5,0,0,1,無職
当,原　田　　ひでかず,52,0,国民民主党,新,0,0,0,1,景気・雇用,地方活性化・人口減,農林水産業,2,0,1,1,政治家・政党関係
落,小　林　　なおみ,51,1,参政党,新,0,0,0,1,景気・雇用,子育て支援,消費税,1,0,1,1,無職
落,三　宅　　しんご,63,0,自由民主党,現,2,2,0,1,景気・雇用,働き方,年金・医療・介護,2,0,1,1,政治家・政党関係
落,長　尾　　まさき,36,0,日本共産党,新,0,0,0,1,消費税,年金・医療・介護,選択的夫婦別姓,5,0,1,1,政治家・政党関係
落,野　呂　　美和子,61,1,ＮＨＫ党,新,0,0,0,1,年金・医療・介護,消費税,情報公開,1,1,1,1,主婦
落,森　　けんたろう,47,0,日本保守党,新,0,0,0,3,消費税,エネルギー・環境,その他,1,0,1,1,ITエンジニア
落,沖　園　　リ　エ,50,1,れいわ新選組,新,0,0,0,3,消費税,農林水産業,教育,3,0,1,1,会社員・社員
落,な　す　　敬　子,65,1,社会民主党,新,0,0,0,3,教育,消費税,年金・医療・介護,5,0,0,1,政治家・政党関係
落,古　川　　あおい,34,1,チームみらい,新,0,0,0,3,情報公開,政治とカネ,景気・雇用,2,1,1,1,ITエンジニア
当,松　山　　まさじ,66,0,自由民主党,現,5,5,0,3,景気・雇用,子育て支援,地方活性化・人口減,2,0,1,1,政治家・政党関係
落,山　口　　ゆうと,35,0,日本共産党,新,0,0,0,3,消費税,年金・医療・介護,外交・安全保障,3,0,1,0,政治家・政党関係
落,松　尾　　芳　治,47,0,ＮＨＫ党,新,0,0,0,1,消費税,財政,景気・雇用,4,1,1,1,ITエンジニア
落,富　永　　あけみ,51,1,立憲民主党,新,0,0,0,1,景気・雇用,子育て支援,農林水産業,5,1,1,0,政治家・政党関係
当,山　下　　雄　平,45,0,自由民主党,現,2,2,0,1,,,,,0,1,1,政治家・政党関係
落,しもひごし　　優　也,32,0,参政党,新,0,0,0,1,景気・雇用,農林水産業,子育て支援,3,0,1,1,自営業
落,つつい　　涼　介,31,0,日本共産党,新,0,0,0,1,消費税,外交・安全保障,農林水産業,3,0,1,1,政治家・政党関係
当,古　賀　　友一郎,57,0,自由民主党,現,3,3,0,1,地方活性化・人口減,景気・雇用,年金・医療・介護,3,0,1,1,政治家・政党関係
当,吉　田　　ただとも,69,0,立憲民主党,元,3,3,0,1,その他,消費税,地方活性化・人口減,4,0,1,0,政治家・政党関係
落,北　川　　哲　平,44,0,ＮＨＫ党,新,0,0,0,1,情報公開,政治とカネ,景気・雇用,1,1,1,1,自営業
落,しげい　　くにあき,43,0,参政党,新,0,0,0,1,消費税,農林水産業,地方活性化・人口減,1,1,1,1,自営業
当,山　内　　かなこ,44,1,立憲民主党,新,0,0,0,1,景気・雇用,子育て支援,年金・医療・介護,4,0,1,0,政治家・政党関係
落,ながみね　　誠,55,0,自由民主党,現,2,2,0,1,その他,防災・復興,農林水産業,3,0,0,0,政治家・政党関係
当,おつじ　　ともみ,44,1,無所属,新,0,0,0,1,消費税,年金・医療・介護,農林水産業,5,0,0,1,無職
落,まきの　　俊　一,39,0,参政党,新,0,0,0,1,財政,農林水産業,消費税,2,1,1,1,医療・福祉
落,そのだ　　修　光,68,0,自由民主党,元,2,2,0,1,年金・医療・介護,農林水産業,財政,2,0,1,0,医療・福祉
落,山　本　　貴　平,50,0,ＮＨＫ党,新,0,0,0,1,外交・安全保障,治安,地方活性化・人口減,2,1,1,1,自営業
落,おくま　　亮,38,0,自由民主党,新,0,0,0,1,景気・雇用,年金・医療・介護,教育,3,0,1,0,医療・福祉
落,眞喜志　　雄　一,34,0,ＮＨＫ党,新,0,0,0,1,景気・雇用,消費税,外交・安全保障,1,0,1,1,政治家・政党関係
